Package,LibPath,Version,Priority,Built
MatrixModels,C:/Program Files/R/R-3.3.3/library,0.4-1,NA,3.3.3
memoise,C:/Program Files/R/R-3.3.3/library,1.1.0,NA,3.3.3
methods,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
mgcv,C:/Program Files/R/R-3.3.3/library,1.8-17,recommended,3.3.3
mime,C:/Program Files/R/R-3.3.3/library,0.5,NA,3.3.2
minqa,C:/Program Files/R/R-3.3.3/library,1.2.4,NA,3.3.3
mnormt,C:/Program Files/R/R-3.3.3/library,1.5-5,NA,3.3.2
modelr,C:/Program Files/R/R-3.3.3/library,0.1.1,NA,3.3.3
moments,C:/Program Files/R/R-3.3.3/library,0.14,NA,3.3.2
munsell,C:/Program Files/R/R-3.3.3/library,0.4.3,NA,3.3.3
nlme,C:/Program Files/R/R-3.3.3/library,3.1-131,recommended,3.3.3
nloptr,C:/Program Files/R/R-3.3.3/library,1.0.4,NA,3.3.3
nnet,C:/Program Files/R/R-3.3.3/library,7.3-12,recommended,3.3.3
openssl,C:/Program Files/R/R-3.3.3/library,0.9.9,NA,3.3.3
parallel,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
pbkrtest,C:/Program Files/R/R-3.3.3/library,0.4-7,NA,3.3.3
pillar,C:/Program Files/R/R-3.3.3/library,1.1.0,NA,3.3.3
pkgconfig,C:/Program Files/R/R-3.3.3/library,2.0.1,NA,3.3.3
plogr,C:/Program Files/R/R-3.3.3/library,0.1-1,NA,3.3.3
plyr,C:/Program Files/R/R-3.3.3/library,1.8.4,NA,3.3.3
praise,C:/Program Files/R/R-3.3.3/library,1.0.0,NA,3.3.3
proto,C:/Program Files/R/R-3.3.3/library,1.0.0,NA,3.3.3
psych,C:/Program Files/R/R-3.3.3/library,1.7.8,NA,3.3.3
purrr,C:/Program Files/R/R-3.3.3/library,0.2.4,NA,3.3.3
quadprog,C:/Program Files/R/R-3.3.3/library,1.5-5,NA,3.3.2
quantmod,C:/Program Files/R/R-3.3.3/library,0.4-10,NA,3.3.3
quantreg,C:/Program Files/R/R-3.3.3/library,5.29,NA,3.3.3
R6,C:/Program Files/R/R-3.3.3/library,2.2.2,NA,3.3.3
RColorBrewer,C:/Program Files/R/R-3.3.3/library,1.1-2,NA,3.3.2
Rcpp,C:/Program Files/R/R-3.3.3/library,0.12.10,NA,3.3.3
RcppArmadillo,C:/Program Files/R/R-3.3.3/library,0.7.960.1.2,NA,3.3.3
RcppEigen,C:/Program Files/R/R-3.3.3/library,0.3.2.9.1,NA,3.3.3
readr,C:/Program Files/R/R-3.3.3/library,1.1.1,NA,3.3.3
readxl,C:/Program Files/R/R-3.3.3/library,1.0.0,NA,3.3.3
rematch,C:/Program Files/R/R-3.3.3/library,1.0.1,NA,3.3.3
rematch2,C:/Program Files/R/R-3.3.3/library,2.0.1,NA,3.3.3
reprex,C:/Program Files/R/R-3.3.3/library,0.1.2,NA,3.3.3
